Rank,University,Country
414,Murray State University,USA
415,University of Southern Maine,USA
416,Furman University,USA
417,University of Wisconsin - LaCrosse,USA
418,James Madison University,USA
419,Franklin & Marshall College,USA
420,University of Detroit Mercy,USA
421,Texas Christian University,USA
422,Providence College,USA
423,Colgate University,USA
424,Amherst College,USA
425,Indiana State University,USA
426,William Paterson University,USA
427,"California State University, Monterey Bay",USA
428,The New School,USA
429,Oberlin College,USA
430,Quinnipiac University,USA
431,Claremont McKenna College,USA
432,Mount Holyoke College,USA
433,High Point University,USA
434,Fairleigh Dickinson University,USA
435,"University of Wisconsin, Stevens Point",USA
436,"University of Texas, Tyler",USA
437,"California State University, Fresno",USA
438,"Louisiana State University, Shreveport",USA
439,Missouri State University,USA
440,Colby College,USA
441,"University of Wisconsin, River Falls",USA
442,Kenyon College,USA
443,Clark Atlanta University,USA
444,Palo Alto University,USA
445,Humboldt State University,USA
446,Occidental College,USA
447,University of Northern Iowa,USA
448,"University of Wisconsin, Whitewater",USA
449,Chicago State University,USA
450,Southern Connecticut State University,USA
451,Gettysburg College,USA
452,Samford University,USA
453,Bard College,USA
454,Denison University,USA
455,The College of New Jersey,USA
456,Bryn Mawr College,USA
457,Hope College,USA
458,Kean University,USA
459,Utah Valley University,USA
460,The Citadel,USA
461,Reed College,USA
462,Western Kentucky University,USA
463,Florida Gulf Coast University,USA
464,Loyola Marymount University,USA
465,"California State University, Chico",USA
466,Western Illinois University,USA
467,Xavier University,USA
468,The College of Wooster,USA
469,University of St. Thomas,USA
470,Butler University,USA
471,College of Charleston,USA
472,Southern Illinois University Edwardsville,USA
473,Suffolk University,USA
474,"California State University, Channel Islands",USA
475,Elon University,USA
476,Bentley University,USA
477,Tarleton State University,USA
478,Indiana University of Pennsylvania,USA
479,Fairfield University,USA
480,Pepperdine University,USA
481,"University of Wisconsin, Eau Claire",USA
482,Widener University,USA
483,Bowdoin College,USA
484,Drake University,USA
485,Indiana University - Purdue University at Fort Wayne,USA
486,"University of Houston, Clear Lake",USA
487,Vassar College,USA
488,Texas Woman's University,USA
489,AT Still University,USA
490,Skidmore College,USA
491,Central Connecticut State University,USA
492,"University of Nebraska, Kearney",USA
493,Colorado College,USA
494,Hamilton College,USA
495,Norfolk State University,USA
496,Rollins College,USA
497,West Chester University of Pennsylvania,USA
498,Simmons University,USA
499,University of Hartford,USA
500,"University of Wisconsin, Green Bay",USA
